GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rpg-campaign-maven,rpg.campaign.maven.controller,GameController,1065,0,96,0,322,0,97,0,49,0
rpg-campaign-maven,rpg.campaign.maven.campaign,Campaign,60,0,0,0,14,0,7,0,7,0
rpg-campaign-maven,rpg.campaign.maven,App,7,0,0,0,3,0,2,0,2,0
rpg-campaign-maven,rpg.campaign.maven.character,Character,304,0,0,0,93,0,44,0,44,0
rpg-campaign-maven,rpg.campaign.maven.character,PlayableCharacter,288,0,0,0,30,0,7,0,7,0
rpg-campaign-maven,rpg.campaign.maven.character,NonPlayableCharacter,236,0,0,0,20,0,2,0,2,0
rpg-campaign-maven,rpg.campaign.maven.user,User,54,0,6,0,17,0,10,0,7,0
rpg-campaign-maven,rpg.campaign.maven.user,DungeonMaster,6,0,0,0,2,0,1,0,1,0
rpg-campaign-maven,rpg.campaign.maven.user,Player,31,0,0,0,5,0,3,0,3,0
rpg-campaign-maven,rpg.campaign.maven.test,CliUserInterface,1656,0,102,0,566,0,154,0,71,0
